Mean,Median,Standard Deviation,Minimum,Maximum,10th Percentile,90th Percentile,AR(1)
0.0005800769230028,0.00052999999024905,0.00012653430069616144,0.0003879999858327,0.0008779999916441,0.00043910000531462,0.0007833000097888699,0.9178349852536171
1.57664159424603,0.6830880045890808,1.5418775655720776,0.2240380048751831,7.477116107940674,0.31139498949050903,4.012230491638184,0.9927684192192877
158.5621681703536,92.62104797363281,122.99842004018186,0.5165709853172302,632.2664794921875,58.37479858398437,366.575814819336,0.9927033429681051
0.46882685403591207,0.2750169932842254,0.5676560015160151,0.0239610001444816,2.9682390689849854,0.04266579896211621,1.3080544829368592,0.9969390501341735
0.14510609035003225,0.0682030022144317,0.14541376894085492,0.0101450001820921,1.5159499645233154,0.0209199991077184,0.3409110009670257,0.9895858912329598
0.19540302534087817,0.07530049979686734,0.2940318734113021,0.0110849998891353,2.225526094436645,0.01417410010471935,0.4473703086376189,0.9907732110044184
1.6465670234883785,1.0105194449424744,1.5958097541666996,0.1812810003757476,7.409512042999268,0.25653301179409027,3.8086929321289062,0.9948043273865098
0.09971260419760891,0.0661669969558715,0.10268543244116562,0.0113599998876452,0.4458639919757843,0.01324559971690172,0.28975079655647273,0.9914974102105575
0.5393721944039771,0.3134509921073913,0.49414637334115286,0.0885410010814666,3.2014119625091557,0.136148002743721,1.3573266029357909,0.9926317540149717
0.3727576141671171,0.1800670027732849,0.6000669245934867,0.0500140003859996,3.81325101852417,0.06601399779319761,0.9428323984146116,0.9956521195746474
0.0356707076794099,0.02413399983197445,0.03907260708900887,0.0009289999725297,0.1943089962005615,0.0021479000570252503,0.09682149887084956,0.9942978689856231
3.066153990922028,2.8087785243988037,2.310689781197786,0.2971799969673157,13.505027770996094,0.5979221820831299,5.829984521865845,0.9911282645075074
4.273752416452665,3.948837041854858,3.2962559132190323,1.0249899625778198,23.61934471130371,1.3783632278442384,7.258562278747557,0.9882424239399498
2.928550563721161,1.945901036262512,1.8800834989570314,0.8643140196800232,9.420702934265137,1.1075177907943725,5.486438465118408,0.9872179255122205
8.176778020033654,7.630500793457031,3.001711116505639,3.212038040161133,18.32257652282715,4.7849043846130375,12.34470901489258,0.9839808724728903
15.67928714346434,9.387506008148193,16.196632392057495,0.5431709885597229,86.2794418334961,2.578615379333496,40.95488510131837,0.992967727835793
1.2421674571539227,1.155636966228485,0.3497910138159023,0.7610599994659424,2.26501989364624,0.8704770088195801,1.8353897809982305,0.9847472376284606
0.510364964470133,0.46340198814868927,0.21030525415645965,0.2905470132827759,1.641037940979004,0.3561087042093277,0.6464586138725281,0.9807865769896231
0.07549168343925132,0.0552700012922287,0.048706047803510025,0.0343369990587234,0.308322012424469,0.0383649989962577,0.1586409956216812,0.990302405389725
11.509806696876522,9.24217939376831,9.07448890029488,1.6492029428482056,44.54278945922852,3.081067442893982,26.908825874328613,0.9933900293814035
0.7201716728867904,0.2933680117130279,0.7850005725066892,0.0823260024189949,4.044723033905029,0.15082320272922511,2.115990591049194,0.9914498016208365
30.721493724804773,18.336188316345215,27.651867408697516,2.906161069869995,134.53103637695312,9.086338996887209,77.84197235107422,0.9948298876466317
0.6146329641917497,0.5448714792728424,0.2575728565557267,0.3141340017318725,1.4866310358047483,0.3453342109918594,0.9827367961406708,0.9917976099762918
24.825938907218905,8.302953720092773,34.7543154392301,0.1351040005683899,160.35926818847656,2.5427041053771973,72.54862213134766,0.9968854227696835
1.1618060564275177,1.0601900219917297,0.38007915286558525,0.6239190101623535,3.0683319568634038,0.8013185143470765,1.5601041197776795,0.9818731986762369
14.43326343276671,9.782204627990723,13.320906960372755,2.948432922363281,71.7515640258789,3.947982931137085,29.048330879211427,0.9934652592769782
4.011901657899906,1.826173484325409,4.207131450011603,0.21840600669384,21.105472564697266,0.3739030003547668,9.519674968719483,0.993534007064434
0.37363456090593417,0.25388848781585693,0.2825523905903489,0.1055390015244484,1.7662999629974363,0.17057859301567072,0.7799194991588593,0.9924976614862407
425.50323568852855,281.4847106933594,419.53762548350403,77.36577606201172,3923.070068359375,118.8940399169922,853.8892456054689,0.9898592151734776
0.06668878636917729,0.0632629990577697,0.023471292484777764,0.0243309997022151,0.1597560048103332,0.04046939983963962,0.09729180037975303,0.9730261043262146
0.016850854747087435,0.017821500077843597,0.007893038668126334,0.0044490001164376,0.0363209992647171,0.0057383000850677,0.028420799598097717,0.9884346836216337
0.28376111119859293,0.1907910034060478,0.19347158093477548,0.0604939982295036,1.062976956367493,0.06856670081615442,0.5176208972930908,0.997955250509903
0.45520958976726733,0.4774320125579834,0.2036638845882687,0.157377004623413,1.238559007644653,0.18477220535278313,0.6949295878410339,0.9807853611522988
170.26593818336232,38.50860023498535,173.49808783932824,1.5103600025177002,675.68408203125,9.755842113494873,404.2495269775391,0.9977435600776278
3.2635294177025038e-06,9.999999974752427e-07,5.4201938855294896e-06,0.0,2.4000000848900527e-05,0.0,1.2600000081874918e-05,0.9889297840588899
0.19072963953018185,0.1883530020713806,0.01813323269918477,0.1594939976930618,0.2582930028438568,0.16796139776706692,0.21219680011272427,0.862027055999624
116.51487600772603,95.4589614868164,72.72564968566854,24.11706924438477,441.3943481445313,37.269875335693364,203.97057495117187,0.9861853614457254
15106.79795668941,8441.490234375,16554.447204617216,178.10299682617188,67566.828125,338.1520080566406,42520.40234375,0.9988632557186166
27191.66416692845,26079.98046875,15670.634011577313,4936.75537109375,67502.421875,8803.4833984375,49164.51171875,0.9971459881168246
34.897552034732676,17.49161434173584,51.53000525217402,4.927590847015381,453.4549865722656,8.576672554016113,68.44109497070312,0.984191538359326
